id,popularity,vote_average,vote_count
489,41.885,8.1,9964.0
640344,6.223,8.1,452.0
935,19.167,8.1,4633.0
348,63.269,8.1,12036.0
239,23.658,8.1,2814.0
614,14.655,8.1,1297.0
615457,118.558,8.1,5061.0
337404,322.84,8.1,7501.0
149871,20.909,8.1,1382.0
411088,41.466,8.1,3858.0
24382,8.688,8.1,580.0
655,15.746,8.1,1328.0
37165,49.04,8.1,15242.0
12445,156.25,8.1,17719.0
3780,11.206,8.1,246.0
832,16.848,8.1,1662.0
92060,10.707,8.1,453.0
638507,45.276,8.1,717.0
5801,10.761,8.1,284.0
843,20.973,8.1,1983.0
529531,5.901,8.1,229.0
38288,5.507,8.1,328.0
9764,11.032,8.1,368.0
785534,23.012,8.1,299.0
347688,19.187,8.1,236.0
42229,6.778,8.1,532.0
38,45.601,8.1,12622.0
397567,92.371,8.1,685.0
55960,6.23,8.1,283.0
46738,23.616,8.1,2001.0
11659,8.19,8.1,434.0
7345,20.997,8.1,5319.0
359940,23.333,8.1,8731.0
103663,18.906,8.1,3232.0
843906,105.641,8.1,315.0
652722,13.24,8.1,299.0
4348,52.371,8.1,6722.0
334543,22.664,8.1,5824.0
574074,10.717,8.1,274.0
780,11.334,8.1,692.0
406,15.49,8.1,3138.0
147,15.066,8.1,1717.0
81481,22.087,8.1,415.0
280,73.989,8.1,10691.0
1955,18.756,8.1,2758.0
387,23.923,8.1,1735.0
449176,26.552,8.1,5471.0
20941,51.245,8.1,359.0
9702,79.173,8.1,953.0
62,37.661,8.1,9619.0
550776,20.648,8.1,439.0
19426,9.2,8.1,578.0
282848,8.531,8.1,251.0
21634,13.953,8.1,477.0
11645,16.614,8.1,1178.0
19542,9.258,8.1,467.0
515001,33.13,8.1,7767.0
14696,12.634,8.1,423.0
8392,47.826,8.1,6385.0
437068,18.053,8.1,701.0
10681,76.947,8.1,16143.0
381284,110.466,8.1,8092.0
20530,7.714,8.1,290.0
146233,53.401,8.1,9580.0
7347,45.583,8.1,1855.0
1396,11.317,8.1,703.0
8422,8.093,8.1,431.0
893941,31.282,8.1,201.0
11423,23.215,8.1,2852.0
821,15.377,8.1,582.0
339877,19.18,8.1,2125.0
538362,9.213,8.1,1742.0
458220,167.528,8.1,884.0
120467,32.583,8.1,12632.0
400928,73.086,8.1,4499.0
264644,21.044,8.0,8173.0
26022,25.967,8.0,1060.0
455661,6.396,8.0,922.0
11104,28.602,8.0,1264.0
568160,88.268,8.0,1586.0
115929,11.696,8.0,233.0
582,14.165,8.0,3013.0
204,10.334,8.0,662.0
482321,161.173,8.0,1409.0
110416,15.741,8.0,1151.0
595,15.964,8.0,2114.0
678580,38.561,8.0,323.0
28978,9.971,8.0,599.0
634649,998.765,8.0,15190.0
310569,8.993,8.0,620.0
938,18.84,8.0,3200.0
698948,160.249,8.0,673.0
429210,6.06,8.0,317.0
550205,109.43,8.0,962.0
28422,10.071,8.0,340.0
9277,13.989,8.0,2053.0
961,11.68,8.0,913.0
522402,160.239,8.0,2544.0
522518,44.384,8.0,1159.0
58007,4.758,8.0,243.0
641,9.981,8.0,8343.0
610461,10.453,8.0,364.0
14,26.509,8.0,10498.0
521,16.612,8.0,2069.0
438695,433.004,8.0,3141.0
106646,168.153,8.0,20349.0
426618,10.892,8.0,455.0
3090,13.355,8.0,921.0
1059,11.213,8.0,450.0
315465,41.695,8.0,1237.0
20803,8.088,8.0,260.0
15,18.028,8.0,4545.0
776305,149.027,8.0,451.0
12761,7.597,8.0,426.0
962,11.991,8.0,1236.0
1091,41.009,8.0,5541.0
279,25.153,8.0,3455.0
610150,2272.782,8.0,1697.0
673,181.582,8.0,18417.0
378108,26.884,8.0,461.0
800,12.28,8.0,371.0
2517,12.124,8.0,365.0
38360,9.475,8.0,254.0
